country,code,forest_area,rural_pop,access_electricity,pop_growth,GDP_growth,working_age_pop,life_expectancy
Senegal,SEN,41.9059887,51.878,64.3,,-1.3421459,54.7617747,68.006
Singapore,SGP,21.6852368,0,100,,-3.6008481,74.6939759,84.4658537
Solomon Islands,SLB,90.1382637,75.33,72.8979263,,-5.6453711,56.9651927,70.199
Sierra Leone,SLE,35.1188695,57.077,26.3106842,,-4.196551,57.0676686,59.763
El Salvador,SLV,28.1795367,26.556,99.7225418,,-7.9985977,65.8122443,71.061
San Marino,SMR,16.6666667,2.501,100,,-6.1785014,66.9200459,
Somalia,SOM,9.53231103,53.859,49.8635635,,-5.8342057,50.0444473,55.967
Serbia,SRB,32.3778095,43.554,100,,-0.240924,65.1256873,74.4780488
Sub-Saharan Africa (excluding high income),SSA,26.2517073,58.7069739,48.4774311,,-4.4906249,54.6462144,60.8474928
South Sudan,SSD,11.3256215,79.801,7.26093388,,,51.7018776,55.48
Sub-Saharan Africa,SSF,26.2526125,58.7055839,48.4818374,,-4.4954249,54.6474526,60.8488944
Small states,SST,39.6362975,40.5253746,82.3692554,,-6.5895075,65.0309285,69.0825725
Sao Tome and Principe,STP,54.0625,25.646,76.8136063,,0.72764131,55.597532,67.785
Suriname,SUR,97.4121154,33.851,98.4032898,,-16.911407,66.117055,72.561
Slovak Republic,SVK,40.0561564,46.24,100,,-3.418372,67.333858,76.8658537
Slovenia,SVN,61.4722592,44.882,100,,-4.8800919,64.6964476,80.5317073
Sweden,SWE,68.6990703,12.023,100,,-2.8746842,62.2223211,82.3560976
Eswatini,SWZ,28.927907,75.829,79.9933624,,-2.4802998,60.6125837,59.692
Sint Maarten (Dutch part),SXM,10.8823529,0,100,,-14.75502,78.5862476,74.584
Seychelles,SYC,73.2608696,42.454,100,,-8.5127715,69.1239458,77.2365854
Syrian Arab Republic,SYR,2.84310842,44.525,89.0276184,,-3.4227271,60.9797413,72.14
Turks and Caicos Islands,TCA,11.0736842,6.395,99.4,,-28.760645,73.211523,75.001
Chad,TCD,3.4251906,76.48,10.8656769,,-4.661339,50.150632,52.777
East Asia & Pacific (IDA & IBRD countries),TEA,30.3464279,42.5652821,98.1445791,,0.7679377,68.7147611,75.9688903
Europe & Central Asia (IDA & IBRD countries),TEC,39.3051266,33.3505828,99.9508255,,-1.8239412,66.5137345,72.6960819
Togo,TGO,22.2333149,57.2,54.1275978,,-0.251661,56.4440195,61.035
Thailand,THA,38.8987845,48.57,100,,-6.2875809,70.0836569,79.274
Tajikistan,TJK,3.05353412,72.494,99.5057449,,2.14418625,60.2694042,67.994
Turkmenistan,TKM,8.78215904,47.484,100,,,64.0515353,68.687
Latin America & the Caribbean (IDA & IBRD countries),TLA,46.5898686,18.8395509,98.1131138,,-7.2866389,67.3231675,72.9279548
Timor-Leste,TLS,61.9435104,68.68,96.0023727,,29.9766964,58.6828795,68.475
Middle East & North Africa (IDA & IBRD countries),TMN,2.49753414,38.2826556,96.7342401,,-4.6591525,63.3835262,72.1463762
Tonga,TON,12.4305556,76.901,99.8634949,,0.19936359,58.7440857,70.928
South Asia (IDA & IBRD),TSA,18.8210548,65.1067942,96.1949615,,-5.6845433,65.838687,69.7483309
Sub-Saharan Africa (IDA & IBRD countries),TSS,26.2526125,58.7055839,48.4818374,,-4.4954249,54.6474526,60.8488944
Trinidad and Tobago,TTO,44.4814815,46.786,100,,-8.9696147,69.801014,74.406
Tunisia,TUN,4.52323635,30.432,99.9,,-9.660708,66.4714367,75.292
Turkiye,TUR,28.8714837,23.895,100,,0.87618637,68.1068442,75.85
Tuvalu,TUV,33.3333333,35.986,99.4254761,,-5.2521597,62.3994941,64.382
Tanzania,TZA,51.642583,64.773,39.9,,-1.0195828,52.9949476,66.408
Uganda,UGA,11.6591861,75.046,42.1394768,,-0.4233165,52.6650768,62.851
Ukraine,UKR,16.7241974,30.392,100,,-3.1016586,67.4827125,71.185122
Upper middle income,UMC,37.7175009,33.5325115,99.1784183,,-1.1749944,68.314419,75.1390035
Uruguay,URY,11.6043881,4.485,100,,-6.2814832,64.8650158,78.43
United States,USA,33.8669264,17.336,100,,-3.7009525,65.2652503,76.9804878
Uzbekistan,UZB,8.37322138,49.584,100,,0.05382224,65.3623781,70.331
St. Vincent and the Grenadines,VCT,73.1794872,46.968,100,,-3.4709248,67.0465677,72.126
"Venezuela, RB",VEN,52.4130151,11.721,99.9163208,,,63.5214125,71.095
British Virgin Islands,VGB,24.1333333,51.485,100,,,75.0452928,75.849
